,file,start_time,end_time,participant,ground_truth,ground_truth_cleaned,ground_truth_cleaned_no_punctuation
18,0001/D0001_A.txt,312.25,338.35,1,然后就可能他们也没在意太多吧，他也不会说一下子就能想到，哦原来老师是结巴的，是卡壳，是那个会/r口吃的。他们一下子不会想到那个，就只是他们会觉得好奇，哎老师怎么突然讲着讲着就卡了，然后需要。,然后就可能他们也没在意太多吧，他也不会说一下子就能想到，哦原来老师是结巴的，是卡壳，是那个会口吃的。他们一下子不会想到那个，就只是他们会觉得好奇，哎老师怎么突然讲着讲着就卡了，然后需要。,然后就可能他们也没在意太多吧他也不会说一下子就能想到哦原来老师是结巴的是卡壳是那个会口吃的他们一下子不会想到那个就只是他们会觉得好奇哎老师怎么突然讲着讲着就卡了然后需要
19,0001/D0001_A.txt,341.24,352.8,1,需/p要等几秒钟，然后我/r才能接着往下讲。那他们模仿的话，现在还/p不会，嗯/i。,需要等几秒钟，然后我才能接着往下讲。那他们模仿的话，现在还不会，。,需要等几秒钟然后我才能接着往下讲那他们模仿的话现在还不会
20,0001/D0001_A.txt,354.94,361.3,1,他们现在还/b没有，就是。,他们现在还没有，就是。,他们现在还没有就是
21,0001/D0001_A.txt,363.19,380.22,1,就是嗯/i不会说呃/i特意来[来]模仿我的这个卡壳的事情，因为他们不/b会想到我是讲话有问题。,就是不会说特意来模仿我的这个卡壳的事情，因为他们不会想到我是讲话有问题。,就是不会说特意来模仿我的这个卡壳的事情因为他们不会想到我是讲话有问题
22,0001/D0001_A.txt,380.28,389.26,1,所以[所以]就是说他们没有这个意/b[意/b意/b]识来去模仿我，对。,所以就是说他们没有这个意识来去模仿我，对。,所以就是说他们没有这个意识来去模仿我对
23,0001/D0001_A.txt,389.5,395.72,1,那[那]所以那个，模仿还是暂时不会的。,那所以那个，模仿还是暂时不会的。,那所以那个模仿还是暂时不会的
24,0001/D0001_A.txt,431.07,431.78,1,嗯。,嗯。,嗯
25,0001/D0001_A.txt,435.29,449.05,1,在开家/b长会之前呢，我会做这个充足的，就是呃要讲什么内容。我会先[先]准备好，然后先自己。,在开家长会之前呢，我会做这个充足的，就是呃要讲什么内容。我会先准备好，然后先自己。,在开家长会之前呢我会做这个充足的就是呃要讲什么内容我会先准备好然后先自己
26,0001/D0001_A.txt,450.58,465.61,1,就呃/i背词的那些就读先/p读的很熟练，所以我会减少在家长面前卡的这个*问/b题。,就背词的那些就读先读的很熟练，所以我会减少在家长面前卡的这个*问题。,就背词的那些就读先读的很熟练所以我会减少在家长面前卡的这个*问题
27,0001/D0001_A.txt,465.88,471.86,1,那嗯/i家长他们呃/i/b在。,那家长他们在。,那家长他们在
28,0001/D0001_A.txt,475.56,492.61,1,听我讲的时候，我也肯定会出现，些许的卡的卡壳的这些话/b语，那他们[他们]会听到，呃/i。,听我讲的时候，我也肯定会出现，些许的卡的卡壳的这些话语，那他们会听到，。,听我讲的时候我也肯定会出现些许的卡的卡壳的这些话语那他们会听到
29,0001/D0001_A.txt,494.43,513.43,1,呃/i但是呢嗯/i不会说就抓着我的这个卡的问题，然后说哦不信任啊呃/i或者来质问呃/i这一种，就是我觉得家长的。,但是呢不会说就抓着我的这个卡的问题，然后说哦不信任啊或者来质问这一种，就是我觉得家长的。,但是呢不会说就抓着我的这个卡的问题然后说哦不信任啊或者来质问这一种就是我觉得家长的
30,0001/D0001_A.txt,514.82,529.36,1,呃/i宽容度还是可以的，就是他们能听得出来，哦你这个老师说话会些许的有一些词汇，些许的卡。,宽容度还是可以的，就是他们能听得出来，哦你这个老师说话会些许的有一些词汇，些许的卡。,宽容度还是可以的就是他们能听得出来哦你这个老师说话会些许的有一些词汇些许的卡
31,0001/D0001_A.txt,530.5296333864719,537.88,1,但/r/b是他们。,但是他们。,但是他们
32,0001/D0001_A.txt,540.34,561.87,1,嗯/i不/b会专门抓着这个小很小的毛病，然后来就是来放大，因为就我在其他方面做的[做的]挺好的话，那么家长的宽容度还是可以的就。,不会专门抓着这个小很小的毛病，然后来就是来放大，因为就我在其他方面做的挺好的话，那么家长的宽容度还是可以的就。,不会专门抓着这个小很小的毛病然后来就是来放大因为就我在其他方面做的挺好的话那么家长的宽容度还是可以的就
33,0001/D0001_A.txt,562.56,571.41,1,嗯/i我不会抓着这点小细节，所以[所以]总体还是可以放心的，对。,我不会抓着这点小细节，所以总体还是可以放心的，对。,我不会抓着这点小细节所以总体还是可以放心的对
34,0001/D0001_A.txt,614.1,625.93,1,这个没有，因为[因为]呃/i我会怕如果说我主动。,这个没有，因为我会怕如果说我主动。,这个没有因为我会怕如果说我主动
35,0001/D0001_A.txt,626.2390282976758,640.58,1,去/b跟/b家长说，我有口吃的问题，那么有的家长可能能理解。,去跟家长说，我有口吃的问题，那么有的家长可能能理解。,去跟家长说我有口吃的问题那么有的家长可能能理解
36,0001/D0001_A.txt,642.62,659.65,1,有的家长就不/b是，那么有，就是能理解，那[那]些不能理解的家长，他[他]可能就会放/b大我这件事情。,有的家长就不是，那么有，就是能理解，那些不能理解的家长，他可能就会放大我这件事情。,有的家长就不是那么有就是能理解那些不能理解的家长他可能就会放大我这件事情
37,0001/D0001_A.txt,659.79,678.77,1,所以[所以]可能就会去跟园长说啊什么的，那我会从我的工作出发，然后就不会主动去跟家长说这一个事情。,所以可能就会去跟园长说啊什么的，那我会从我的工作出发，然后就不会主动去跟家长说这一个事情。,所以可能就会去跟园长说啊什么的那我会从我的工作出发然后就不会主动去跟家长说这一个事情
38,0001/D0001_A.txt,679.35,687.4,1,因为呃/i说话有点就是平时的卡壳，这个是。,因为说话有点就是平时的卡壳，这个是。,因为说话有点就是平时的卡壳这个是
39,0001/D0001_A.txt,687.6513178418804,704.63,1,呃/i/b正常人他[他]都会出现的，就有时候卡壳，是偶是[是]正常人也会出现的，所以呃/i我会。,正常人他都会出现的，就有时候卡壳，是偶是正常人也会出现的，所以我会。,正常人他都会出现的就有时候卡壳是偶是正常人也会出现的所以我会
40,0001/D0001_A.txt,705.62,724.18,1,希望家长是默认为我是那种正常的卡壳，嗯然后不要把我想到说呃/i我是口吃的这个角/b度去想，多，呃/i对。,希望家长是默认为我是那种正常的卡壳，嗯然后不要把我想到说我是口吃的这个角度去想，多，对。,希望家长是默认为我是那种正常的卡壳嗯然后不要把我想到说我是口吃的这个角度去想多对
41,0001/D0001_A.txt,755.94,757.41,1,对对<overlap>。,对对。,对对
42,0001/D0001_A.txt,790.13,796.58,1,电视剧有，我/r说的话。,电视剧有，我说的话。,电视剧有我说的话
43,0001/D0001_A.txt,798.23,801.79,1,比较少/p/r看，对。,比较少看，对。,比较少看对
44,0001/D0001_A.txt,813.88,814.78,1,嗯。,嗯。,嗯
45,0001/D0001_A.txt,819.98,825.68,1,我最近重新看的就是呃/i。,我最近重新看的就是。,我最近重新看的就是
46,0001/D0001_A.txt,827.17,839.12,1,我小/p时候看的一个[一个]电视剧，因为我比较那个念旧，然后我对。,我小时候看的一个电视剧，因为我比较那个念旧，然后我对。,我小时候看的一个电视剧因为我比较那个念旧然后我对
47,0001/D0001_A.txt,840.71,855.57,1,前，新上映的电视剧就没[没/r/b]有去关注，呃/i我。,前，新上映的电视剧就没有去关注，我。,前新上映的电视剧就没有去关注我
48,0001/D0001_A.txt,860.15,868.18,1,前两天呢看了一部呃/i就是叫。,前两天呢看了一部就是叫。,前两天呢看了一部就是叫
49,0001/D0001_A.txt,869.27,883.96,1,魔/b剑生死棋的，这个是我以前呃/i/p小学的时候看的呃/i。,魔剑生死棋的，这个是我以前小学的时候看的。,魔剑生死棋的这个是我以前小学的时候看的
50,0001/D0001_A.txt,885.4,895.08,1,我无意间就找到了这个剧，然后发现是我看过的就会。,我无意间就找到了这个剧，然后发现是我看过的就会。,我无意间就找到了这个剧然后发现是我看过的就会
51,0001/D0001_A.txt,895.4308175970514,906.7,1,想/p要再去看对，嗯/i那这个剧嗯/i我。,想要再去看对，那这个剧我。,想要再去看对那这个剧我
52,0001/D0001_A.txt,909.22,920.95,1,对它的印象就是停留在，因为是我小时候看过的嘛，然后我脑海里嗯/i。,对它的印象就是停留在，因为是我小时候看过的嘛，然后我脑海里。,对它的印象就是停留在因为是我小时候看过的嘛然后我脑海里
53,0001/D0001_A.txt,923.77,946.89,1,停留的印象就是一些个打斗的那些画面，我就很就是那几个熟/p悉的人物，就一直停留在我脑/r/p/b海里。,停留的印象就是一些个打斗的那些画面，我就很就是那几个熟悉的人物，就一直停留在我脑海里。,停留的印象就是一些个打斗的那些画面我就很就是那几个熟悉的人物就一直停留在我脑海里
54,0001/D0001_A.txt,949.53,954.3,1,脑海里，然后嗯/i我再重新看到。,脑海里，然后我再重新看到。,脑海里然后我再重新看到
55,0001/D0001_A.txt,958.86,966.41,1,这部剧的时候我就很开心，因为呃/i/p就熟悉的画面又/r。,这部剧的时候我就很开心，因为就熟悉的画面又。,这部剧的时候我就很开心因为就熟悉的画面又
56,0001/D0001_A.txt,970.0,989.16,1,又出现了，就[就]仿佛回/p到了那个童年的时候，呃/i[呃/i]尽情的享受呃/i看电/r视剧的那些时光，对，嗯/i这部剧呢它。,又出现了，就仿佛回到了那个童年的时候，尽情的享受看电视剧的那些时光，对，这部剧呢它。,又出现了就仿佛回到了那个童年的时候尽情的享受看电视剧的那些时光对这部剧呢它
57,0001/D0001_A.txt,989.88,998.53,1,嗯/i评分不是很高，但是呢就是呃/i[呃/i]是。,评分不是很高，但是呢就是是。,评分不是很高但是呢就是是
58,0001/D0001_A.txt,1002.25,1014.36,1,呃/i里面的情节我认为不重要，呃/i它重要的是[是]就是能把你带回到。,里面的情节我认为不重要，它重要的是就是能把你带回到。,里面的情节我认为不重要它重要的是就是能把你带回到
59,0001/D0001_A.txt,1016.95,1024.86,1,小时候重新看[看]电视剧的那种，童/r年的那种。,小时候重新看电视剧的那种，童年的那种。,小时候重新看电视剧的那种童年的那种
60,0001/D0001_A.txt,1026.43,1043.84,1,画面，所以[所以]我可以说呃/i重温这部剧，呃/i/p就是重新了解一下哦/i里面是/r什么情节，嗯/i因为。,画面，所以我可以说重温这部剧，就是重新了解一下里面是什么情节，因为。,画面所以我可以说重温这部剧就是重新了解一下里面是什么情节因为
61,0001/D0001_A.txt,1045.06,1077.39,1,因为那些情节我都忘了嘛，然后就想重新回顾一下这些情节，嗯/i还有呢就是呃/i重新看/r/b一下里面的那些呃/p/i人物，他们[他们]的各种/p比较精彩的画/p面，我小时候有[有]印象的那些。,因为那些情节我都忘了嘛，然后就想重新回顾一下这些情节，还有呢就是重新看一下里面的那些人物，他们的各种比较精彩的画面，我小时候有印象的那些。,因为那些情节我都忘了嘛然后就想重新回顾一下这些情节还有呢就是重新看一下里面的那些人物他们的各种比较精彩的画面我小时候有印象的那些
62,0001/D0001_A.txt,1080.6181796879375,1110.2,1,画/p面对嗯，嗯/i/p然后呃/i最近呢呃/i/p这两天呢我还看了一部就是释/r小龙，他那个刚上映的那/r/b[那]部电影叫逃学神/b探，对。,画面对嗯，然后最近呢这两天呢我还看了一部就是释小龙，他那个刚上映的那部电影叫逃学神探，对。,画面对嗯然后最近呢这两天呢我还看了一部就是释小龙他那个刚上映的那部电影叫逃学神探对
63,0001/D0001_A.txt,1110.4,1135.6,1,嗯/i/p呃/i/p我看了电影之后，我就发现它其实，它嗯/i/p拍的不是那么的就是好/r看，但是呢嗯/i/p我是抱着呃/i情怀的那个去[去]看的,我看了电影之后，我就发现它其实，它拍的不是那么的就是好看，但是呢我是抱着情怀的那个去看的,我看了电影之后我就发现它其实它拍的不是那么的就是好看但是呢我是抱着情怀的那个去看的
64,0001/D0001_A.txt,1135.73,1145.93,1,因为呃/i小时候嘛吼，很想喜欢释小龙他们的那个乌龙院，然后呃/i现在。,因为小时候嘛吼，很想喜欢释小龙他们的那个乌龙院，然后现在。,因为小时候嘛吼很想喜欢释小龙他们的那个乌龙院然后现在
65,0001/D0001_A.txt,1147.94,1158.76,1,现在，隔这么多年了，呃/i/p释/r小龙他终于就是又重新出现在。,现在，隔这么多年了，释小龙他终于就是又重新出现在。,现在隔这么多年了释小龙他终于就是又重新出现在
66,0001/D0001_A.txt,1160.35,1165.06,1,电影屏幕前，那就会很。,电影屏幕前，那就会很。,电影屏幕前那就会很
67,0001/D0001_A.txt,1168.51,1169.78,1,很兴奋。,很兴奋。,很兴奋
68,0001/D0001_A.txt,1170.08385901753,1178.72,1,所/r/b以就去看了他新拍的这个。,所以就去看了他新拍的这个。,所以就去看了他新拍的这个
69,0001/D0001_A.txt,1179.0430646543136,1207.33,1,电/r/b影，我/b认为呃/i里面的情节呢虽然不是很精彩，嗯，但是嗯/i主要就是冲着嗯/i释小龙，他和郝邵文的这两个就是这一组。,电影，我认为里面的情节呢虽然不是很精彩，嗯，但是主要就是冲着释小龙，他和郝邵文的这两个就是这一组。,电影我认为里面的情节呢虽然不是很精彩嗯但是主要就是冲着释小龙他和郝邵文的这两个就是这一组
70,0001/D0001_A.txt,1207.5915605233358,1222.36,1,C/r/b P，嗯，冲着他们来看的，所以就看了也[也]觉得。,C P，嗯，冲着他们来看的，所以就看了也觉得。,C P嗯冲着他们来看的所以就看了也觉得
71,0001/D0001_A.txt,1222.9396967032387,1253.15,1,挺/r/b好的，嗯，有/r里面情节，呃/i有精彩的，也/b也/b有不足的，嗯，就[就]总体还/r/b[还/r/b]行，对嗯。,挺好的，嗯，有里面情节，有精彩的，也也有不足的，嗯，就总体还行，对嗯。,挺好的嗯有里面情节有精彩的也也有不足的嗯就总体还行对嗯
72,0001/D0001_A.txt,1288.88,1309.5,1,啊对，呃/i那个，逃/r学神探它我看了之后，我发现它，有点模仿周星驰的那部逃学威/r/b龙就。,啊对，那个，逃学神探它我看了之后，我发现它，有点模仿周星驰的那部逃学威龙就。,啊对那个逃学神探它我看了之后我发现它有点模仿周星驰的那部逃学威龙就
73,0001/D0001_A.txt,1309.52,1322.05,1,那个痕/r迹太[太]明显了，就嗯/i感觉像是两部剧的结合，还有一部我在。,那个痕迹太明显了，就感觉像是两部剧的结合，还有一部我在。,那个痕迹太明显了就感觉像是两部剧的结合还有一部我在
74,0001/D0001_A.txt,1323.93,1329.41,1,评论区那里看到说是叫其他名字的。,评论区那里看到说是叫其他名字的。,评论区那里看到说是叫其他名字的
75,0001/D0001_A.txt,1329.7075885107724,1350.57,1,反/b正就是两部剧的合/p[合/p]成的感觉，所以它[它]是呃/b/i/p致敬，就是周星驰的那部电影吧，对，有[有]这个感觉，嗯。,反正就是两部剧的合成的感觉，所以它是致敬，就是周星驰的那部电影吧，对，有这个感觉，嗯。,反正就是两部剧的合成的感觉所以它是致敬就是周星驰的那部电影吧对有这个感觉嗯
76,0001/D0001_A.txt,1364.76,1367.11,1,嗯，你/r说。,嗯，你说。,嗯你说
77,0001/D0001_A.txt,1376.54,1394.56,1,它就是嗯/i讲那个男主角，然后一路开[开/r/b]挂，呃/i他从最先开始是。,它就是讲那个男主角，然后一路开挂，他从最先开始是。,它就是讲那个男主角然后一路开挂他从最先开始是
78,0001/D0001_A.txt,1396.89,1400.33,1,嗯/i没有。,没有。,没有
79,0001/D0001_A.txt,1402.99,1421.88,1,武功的，然后呢就遇[遇]到了呃/i*一/b个师[师/r/p]傅/b教会他武功，然后呢就和呃/i。,武功的，然后呢就遇到了*一个师傅教会他武功，然后呢就和。,武功的然后呢就遇到了*一个师傅教会他武功然后呢就和
80,0001/D0001_A.txt,1422.53,1437.54,1,喜欢和/r/b女主角，呃/i/p一见钟/r/b情，呃/i然后女一号呢就。,喜欢和女主角，一见钟情，然后女一号呢就。,喜欢和女主角一见钟情然后女一号呢就
81,0001/D0001_A.txt,1441.22,1444.4,1,被女[女]二号。,被女二号。,被女二号
82,0001/D0001_A.txt,1447.1889006267434,1460.47,1,女/r一号就被男/b二号[男二号]喜欢上了，然后就是呃/i/p男二号就比较的。,女一号就被男二号喜欢上了，然后就是男二号就比较的。,女一号就被男二号喜欢上了然后就是男二号就比较的
83,0001/D0001_A.txt,1463.8418034809265,1491.84,1,悲催，他就是自己很努力，但是呢就是呃/i/p/b没有那种主/b角光环，所以他，呃/i女/r/b一号也[也]不喜欢他[他他]对女一号很/p好，对。,悲催，他就是自己很努力，但是呢就是没有那种主角光环，所以他，女一号也不喜欢他对女一号很好，对。,悲催他就是自己很努力但是呢就是没有那种主角光环所以他女一号也不喜欢他对女一号很好对
84,0001/D0001_A.txt,1492.1707139092823,1495.63,1,超/b级好。,超级好。,超级好
85,0001/D0001_A.txt,1497.23,1497.97,1,嗯。,嗯。,嗯
86,0001/D0001_A.txt,1499.1137582844822,1506.11,1,但/b是呃/i他/r。,但是他。,但是他
87,0001/D0001_A.txt,1507.41,1530.3,1,女一号她还/r是喜欢那个男主角，呃/i然后呢男主角呢就是没有那个男二号勤奋努/p力的那种，就是呃/i他执行任务啊什么的，就。,女一号她还是喜欢那个男主角，然后呢男主角呢就是没有那个男二号勤奋努力的那种，就是他执行任务啊什么的，就。,女一号她还是喜欢那个男主角然后呢男主角呢就是没有那个男二号勤奋努力的那种就是他执行任务啊什么的就
88,0001/D0001_A.txt,1530.88,1539.44,1,都是在哦/i优/r柔寡断，他做决策的时候都是。,都是在优柔寡断，他做决策的时候都是。,都是在优柔寡断他做决策的时候都是
89,0001/D0001_A.txt,1542.17,1542.91,1,优。,优。,优
90,0001/D0001_A.txt,1548.94,1561.91,1,优柔寡断的，嗯/i然/r/b[然]后但/b是呢他[他]一路呢就[就]开挂，因为那个人。,优柔寡断的，然后但是呢他一路呢就开挂，因为那个人。,优柔寡断的然后但是呢他一路呢就开挂因为那个人
91,0001/D0001_A.txt,1562.0835177752008,1586.22,1,这/b部剧是不怎么，评分是不怎么好的，呃/i就因为呃/i评/r/b论区的那[那]些人，他们都在说，呃/i男二号就好/p惨的那个就那么勤/r奋，但是就是一直输给男/r主角。,这部剧是不怎么，评分是不怎么好的，就因为评论区的那些人，他们都在说，男二号就好惨的那个就那么勤奋，但是就是一直输给男主角。,这部剧是不怎么评分是不怎么好的就因为评论区的那些人他们都在说男二号就好惨的那个就那么勤奋但是就是一直输给男主角
92,0001/D0001_A.txt,1586.35,1605.56,1,呃/i然后嗯/i后/r面就是嗯/i他们去抢[抢/b抢]一把[抢一把]就是呃/i熔呃/i。,然后后面就是他们去抢一把就是熔。,然后后面就是他们去抢一把就是熔
93,0001/D0001_A.txt,1605.860598054163,1633.31,1,熔/b成的一把其就是呃/i一把剑，就是那把剑是那个嗯/i拿到了它就能够呃/i称霸武林的那种吧，男[男]二号就[就]执行力很强，他就目标很[很]那个明确然后。,熔成的一把其就是一把剑，就是那把剑是那个拿到了它就能够称霸武林的那种吧，男二号就执行力很强，他就目标很那个明确然后。,熔成的一把其就是一把剑就是那把剑是那个拿到了它就能够称霸武林的那种吧男二号就执行力很强他就目标很那个明确然后
94,0001/D0001_A.txt,1633.36,1639.71,1,*他[他]在执行任务的时候也/r是很。,*他在执行任务的时候也是很。,*他在执行任务的时候也是很
95,0001/D0001_A.txt,1641.4609338223706,1657.97,1,很/r爱嗯/i女一号的，但/b是女一号就不喜欢他，对，嗯然后/p后/b面呢就嗯/i[嗯/i/b]。,很爱女一号的，但是女一号就不喜欢他，对，嗯然后后面呢就。,很爱女一号的但是女一号就不喜欢他对嗯然后后面呢就
96,0001/D0001_A.txt,1658.3347339994368,1678.34,1,那/b把剑就[就]被嗯/i男二号抢了，他/p这个反派也就到最后的时候，反派他[他]都会成/r/b功，但是呢嗯/i/p就突然出现一个。,那把剑就被男二号抢了，他这个反派也就到最后的时候，反派他都会成功，但是呢就突然出现一个。,那把剑就被男二号抢了他这个反派也就到最后的时候反派他都会成功但是呢就突然出现一个
97,0001/D0001_A.txt,1682.67,1709.11,1,一个那个是嗯/i叫啥来着，我忘了，就是出现了另/r/b一个人，然后呢他[他]就射/p了一把剑，然后就[就]把那个嗯/i男二号给反杀了，就是呃/i可以看得出来，男二号一路上。,一个那个是叫啥来着，我忘了，就是出现了另一个人，然后呢他就射了一把剑，然后就把那个男二号给反杀了，就是可以看得出来，男二号一路上。,一个那个是叫啥来着我忘了就是出现了另一个人然后呢他就射了一把剑然后就把那个男二号给反杀了就是可以看得出来男二号一路上
98,0001/D0001_A.txt,1709.3999118967,1735.46,1,很/r/b辛苦，终于就是嗯/i拿/b到了那把剑，结/r/b果在大结局的时候就出现了另/p一个人，然后就直接就秒杀了他。所以[所以]就是，然/r/p后那[那/b]个人他就呃/i。,很辛苦，终于就是拿到了那把剑，结果在大结局的时候就出现了另一个人，然后就直接就秒杀了他。所以就是，然后那个人他就。,很辛苦终于就是拿到了那把剑结果在大结局的时候就出现了另一个人然后就直接就秒杀了他所以就是然后那个人他就
99,0001/D0001_A.txt,1735.81,1753.26,1,秒杀了男/p二号之后，他就把那把剑就[就]给了那个男一号，就是给了男主角，然后他就归/b隐山林去了，所/r以说这个。,秒杀了男二号之后，他就把那把剑就给了那个男一号，就是给了男主角，然后他就归隐山林去了，所以说这个。,秒杀了男二号之后他就把那把剑就给了那个男一号就是给了男主角然后他就归隐山林去了所以说这个
100,0001/D0001_A.txt,1753.8,1767.57,1,男一号是的，男主角是那个一路开挂的，就是不[不]需要什么努[努]力，然后就自然有人来[来]帮你摆平，然后就[就]。,男一号是的，男主角是那个一路开挂的，就是不需要什么努力，然后就自然有人来帮你摆平，然后就。,男一号是的男主角是那个一路开挂的就是不需要什么努力然后就自然有人来帮你摆平然后就
101,0001/D0001_A.txt,1769.75,1792.77,1,把功劳就[就]送/p给你的那种，嗯，然后就是男/r[男]女主角就[就]在一起了，然后那个男二号就[就]死了，对，它[它]大概就是[就是]嗯/i两/r个男的去[去]为了那个。,把功劳就送给你的那种，嗯，然后就是男女主角就在一起了，然后那个男二号就死了，对，它大概就是两个男的去为了那个。,把功劳就送给你的那种嗯然后就是男女主角就在一起了然后那个男二号就死了对它大概就是两个男的去为了那个
102,0001/D0001_A.txt,1795.66,1824.32,1,称霸武林，然后去那个抢一把宝剑的[的]事情就对了，其实它情节它的[它的]豆瓣[它的豆瓣]评分不怎么高，对，只是因为是童年看过的剧，所以就[就]呃/i/p不在意那个评分，呃/i在意的是那个情怀，对，嗯。,称霸武林，然后去那个抢一把宝剑的事情就对了，其实它情节它的豆瓣评分不怎么高，对，只是因为是童年看过的剧，所以就不在意那个评分，在意的是那个情怀，对，嗯。,称霸武林然后去那个抢一把宝剑的事情就对了其实它情节它的豆瓣评分不怎么高对只是因为是童年看过的剧所以就不在意那个评分在意的是那个情怀对嗯
103,0001/D0001_A.txt,1882.94,1883.33,1,嗯。,嗯。,嗯
104,0001/D0001_A.txt,1915.62,1922.45,1,是那种/p，嗯/i我说话它识别文字的那种吗。,是那种，我说话它识别文字的那种吗。,是那种我说话它识别文字的那种吗
105,0001/D0001_A.txt,1944.74,1963.3479831152356,1,对，我经常使/r/b用，嗯，因为我比较懒，然后就总是念出来的，我们之前在学校的时候，那个，在[在]。,对，我经常使用，嗯，因为我比较懒，然后就总是念出来的，我们之前在学校的时候，那个，在。,对我经常使用嗯因为我比较懒然后就总是念出来的我们之前在学校的时候那个在
106,0001/D0001_A.txt,1965.3,1985.36,1,A P P上交作业的嘛，然后那个呃/i/p作业内容特别多*打字就[就]特别累，我就等[等]到它全/r都是念/r/b出来的，呃/i然后后来。,A P P上交作业的嘛，然后那个作业内容特别多*打字就特别累，我就等到它全都是念出来的，然后后来。,A P P上交作业的嘛然后那个作业内容特别多*打字就特别累我就等到它全都是念出来的然后后来
107,0001/D0001_A.txt,1986.09,1995.17,1,我舍友她也/b她们也学着，我在那里就念了，就[就]这样子就。,我舍友她也她们也学着，我在那里就念了，就这样子就。,我舍友她也她们也学着我在那里就念了就这样子就
108,0001/D0001_A.txt,1995.3931229521988,2016.56,1,快/r/b很多，呃/i[呃/i呃/i呃/i]这/b些的话它都是嗯/i/p像那个/p讯飞啊，我用这个用的挺/b好的，它的自动识别就。,快很多，这些的话它都是像那个讯飞啊，我用这个用的挺好的，它的自动识别就。,快很多这些的话它都是像那个讯飞啊我用这个用的挺好的它的自动识别就
109,0001/D0001_A.txt,2016.78,2035.6735592632187,1,很[很/b]精准，对，呃/i讯飞语音还是讯飞助手来着，就[就]我记得它是叫讯/r飞，我之前就是/r它呃是/b,很精准，对，讯飞语音还是讯飞助手来着，就我记得它是叫讯飞，我之前就是它呃是,很精准对讯飞语音还是讯飞助手来着就我记得它是叫讯飞我之前就是它呃是
