Filename,TunedTranscription
103-1240-0019.flac, barely visible from the main road along which all the other avonlea houses were so sociably situated missus rachel lynde did not call living in such a place living at all it's just staying that's what she said as she stepped along the deep rutted grassy lane
103-1240-0020.flac, bordered with wild rose bushes it's no wonder matthew and marilla are both a little odd living away back here by themselves trees aren't much company though dear knows if they were there'd be enough of them i'd ruther look at people to be sure
103-1240-0021.flac,they seem contented enough but then i suppose they're used to it a body can get used to anything even to being hanged as the irishman said with this missus rachel stepped out of the lane into the backyard of green gables very green and neat and precise was that yard
103-1240-0022.flac, set about on one side with great patriarchal willows and the other with prim lombardies not a stray stick nor stone was to be seen for missus rachel would have seen it if there had been privately she was of the opinion that marilla cuthbert swept that yard over as often as she swept her house
103-1240-0023.flac,one could have eaten a meal off the ground without overbrimming the proverbial peck of dirt missus rachel rapped smartly at the kitchen door and stepped in when bidden to do so the kitchen at green gables was a cheerful apartment
103-1240-0024.flac,or would have been cheerful if it had not been so painfully clean as to give it something of the appearance of an unused parlor its windows looked east and west through the west one looking out on the back yard came a flood of mellow june sunlight but the east one
103-1240-0025.flac,once you got a glimpse of the bloom white cherry trees in the left orchard and nodding slender birches down in the hollow by the brook was greened over by a tangle of vines here sat marilla cuthbert when she sat at all always slightly distrustful of sunshine
103-1240-0026.flac,and here she sat now knitting and the table behind her was laid for supper missus rachel before she had fairly closed the door
103-1240-0028.flac, yet what of matthew's white collar and the sorrel mare missus rachel was getting fairly dizzy with this unusual mystery about quiet unmysterious green gables good evening rachel marilla said briskly this is a real fine evening isn't it won't you sit down
103-1240-0029.flac,how are all your folks something that for lack of any other name might be called friendship existed and always had existed between marilla cuthbert and missus rachel in spite of or perhaps because of their dissimilarity marilla was a tall
103-1240-0030.flac, thin woman with angles and without curves her dark hair showed some gray streaks and was always twisted up in a hard little knot behind with two wire hairpins stuck aggressively through it she looked like a woman of narrow experience and rigid conscience which she was
103-1240-0032.flac, marilla's lips twitched understandingly she had expected missus rachel up she had known that the sight of matthew jaunting off so unaccountably would be too much for her neighbor's curiosity oh no i'm quite well although i had a bad headache yesterday she said
103-1240-0033.flac, matthew went to bright river we're getting a little boy from an orphan asylum in nova scotia and he's coming on the train tonight if marilla had said that matthew had gone to bright river to meet a kangaroo from australia missus rachel could not have been more astonished
103-1240-0034.flac, she was actually stricken dumb for five seconds it was unsupposable that marilla was making fun of her but missus rachel was almost forced to suppose it are you in earnest marilla she demanded when voice returned to her yes of course
103-1240-0036.flac, marilla and matthew cuthbert of all people adopting a boy from an orphan asylum well the world was certainly turning upside down she would be surprised at nothing after this nothing
103-1240-0037.flac, what on earth put such a notion into your head she demanded disapprovingly this had been done without her advice being asked and must perforce be disapproved well we've been thinking about it for some time all winter in fact returned marilla
103-1240-0038.flac, missus alexander spencer was up here one day before christmas and she said she was going to get a little girl from the asylum over in hopeton in the spring
103-1240-0039.flac, so matthew and i have talked it over off and on ever since we thought we'd get a boy matthew is getting up in years you know he's sixty and he isn't so spry as he once was his heart troubles him a good deal and you know how desperate hard it's got to be to get hired help
103-1240-0040.flac,there's never anybody to be had but those stupid half grown little french boys and as soon as you do get one broke into your ways and taught something he's up and off to the lobster canneries or the states at first matthew suggested getting a home boy but i said no flat to that
103-1240-0041.flac,they may be all right i'm not saying they're not but no london street arabs for me i said give me a native born at least there'll be a risk no matter who we get but i'll feel easier in my mind and sleep sounder at nights if we get a born canadian
103-1240-0043.flac, old enough to be of some use in doing chores right off and young enough to be trained up proper we mean to give him a good home and schooling we had a telegram from missus alexander spencer today the mail man brought it from the station saying they were coming on the five thirty train tonight
103-1240-0044.flac,so matthew went to bright river to meet him missus spencer will drop him off there of course she goes on to white sands station herself missus rachel prided herself on always speaking her mind she proceeded to speak it now having adjusted her mental attitude to this amazing piece of news
103-1240-0045.flac, well marilla i'll just tell you plain that i think you're doing a mighty foolish thing a risky thing that's what you don't know what you're getting you're bringing a strange child into your house and home and you don't know a single thing about him nor what his disposition is like nor what sort of parents he had
103-1240-0046.flac, nor how he's likely to turn out why it was only last week i read in the paper how a man and his wife up west of the island took a boy out of an orphan asylum and he set fire to the house at night set it on purpose marilla and nearly burnt them to a crisp in their beds
103-1240-0047.flac, and i know another case where an adopted boy used to suck the eggs they couldn't break him of it if you had asked my advice in the matter which you didn't do marilla i'd have said for mercy's sake not to think of such a thing that's what
103-1240-0048.flac, this job's comforting seemed neither to offend nor to alarm marilla she knitted steadily on i don't deny there's something in what you say rachel i've had some qualms myself but matthew was terrible set on it i could see that so i gave in
103-1240-0049.flac,it's so seldom matthew sets his mind on anything that when he does i always feel it's my duty to give in and as for the risk there's risks in pretty near everything a body does in this world there's risks in people's having children of their own if it comes to that they don't always turn out well
103-1240-0050.flac, and then nova scotia is right close to the island it isn't as if we were getting him from england or the states he can't be much different from ourselves well i hope it will turn out all right said missus rachel in a tone that plainly indicated her painful doubts
103-1240-0051.flac,only don't say i didn't warn you if he burns green gables down or puts strychnine in the well i heard of a case over in new brunswick where an orphan asylum child did that and the whole family died in fearful agonies only it was a girl in that instance well we're not getting a girl said marilla
103-1240-0052.flac, as if poisoning welles were a purely feminine accomplishment and not to be dreaded in the case of a boy i'd never dream of taking a girl to bring up i wondered missus alexander spencer for doing it but there she you wouldn't shrink from adopting a whole orphan asylum if she took it into her head
103-1240-0053.flac, missus rachel would have liked to stay until matthew came home with his imported orphan but reflecting that it would be a good two hours at least before his arrival she concluded to go up the road to robert bell's and tell the news it would certainly make a sensation second to none
103-1240-0054.flac,and missus rachel dearly loved to make a sensation so she took herself away somewhat to marilla's relief for the latter felt her doubts and fears reviving under the influence of missus rachel's pessimism well of all things that ever were or will be ejaculated missus rachel when she was safely out in the lane
103-1240-0055.flac,it does really seem as if i must be dreaming well i'm sorry for that poor young one and no mistake matthew and marilla don't know anything about children and they'll expect him to be wiser and steadier that his own grandfather
103-1240-0056.flac,it seems uncanny to think of a child at green gables somehow there's never been one there for matthew and marilla were grown up when the new house was built if they ever were children which is hard to believe when one looks at them i wouldn't be in that orphan's shoes for anything
103-1241-0000.flac,chapter two matthew cuthbert is surprised matthew cuthbert and the sorrel mare jogged comfortably over the eight miles to bright river it was a pretty road running along between snug farmsteads with now and again a bit of balsamy fir wood to drive through
103-1241-0002.flac, matthew enjoyed the drive after his own fashion except during the moments when he met women and had to nod to them for in prince edward island you are supposed to nod to all and sundry you meet on the road whether you know them or not matthew dreaded all women except marilla and missus rachel
103-1241-0003.flac,he had an uncomfortable feeling that the mysterious creatures were secretly laughing at him he may have been quite right in thinking so for he was an odd looking personage with an ungainly figure and long iron gray hair that touched his stooping shoulders
103-1241-0004.flac, and a full soft brown beard which he had worn ever since he was twenty in fact he had looked at twenty very much as he looked at sixty lacking a little of the grayness when he reached bright river there was no sign of any train
103-1241-0005.flac,he thought he was too early so he tied his horse in the yard of the small bright river hotel and went over to the station house the long platform was almost deserted the only living creature in sight being a girl who was sitting on a pile of shingles at the extreme end
103-1241-0006.flac, matthew barely noting that it was a girl sidled past her as quickly as possible without looking at her had he looked he could hardly have failed to notice the tense rigidity and expectation of her attitude and expression she was sitting there waiting for something or somebody
103-1241-0007.flac, and since sitting and waiting was the only thing to do just then she sat and waited with all her might and main matthew encountered the stationmaster locking up the ticket office preparatory to going home for supper and asked him if the five thirty train would soon be along
103-1241-0008.flac,the five thirty train has been in and gone half an hour ago answered that brisk official but there was a passenger dropped off for you a little girl she's sitting out there on the shingles i asked her to go into the ladies waiting room but she informed me gravely that she preferred to stay outside
103-1241-0009.flac, she's a case i should say i'm not expecting a girl said matthew blankly it's a boy i've come for he should be here missus alexander spencer was to bring him over from nova scotia for me the stationmaster whistled
103-1241-0010.flac,guess there's some mistake he said missus spencer came off the train with that girl and gave her into my charge said you and your sister were adopting her from an orphan asylum and that you would be along for her presently that's all i know about it and i haven't got any more orphans concealed hereabouts
103-1241-0011.flac, i don't understand said matthew helplessly wishing that marilla was at hand to cope with the situation well you'd better question the girl said the station master carelessly i dare say she'll be able to explain she's got a tongue of her own that's certain
103-1241-0012.flac,maybe they were out of boys of the brand you wanted he walked jauntily away being hungry and the unfortunate matthew was left to do that which was harder for him than bearding a lion in its den walk up to a girl a strange girl an orphan girl
103-1241-0013.flac,and demand of her why she wasn't a boy matthew groaned in spirit as he turned about and shuffled gently down the platform towards her she had been watching him ever since he had passed her and she had her eyes on him now matthew was not looking at her
103-1241-0014.flac, a child of about eleven garbed in a very short very tight very ugly dress of yellowish gray wincey she wore a faded brown sailor hat and beneath the hat extending down her back were two braids of very thick decidedly red hair
103-1241-0015.flac,her face was small white and thin also much freckled her mouth was large and so were her eyes which looked green in some lights and moods and gray in others so far the ordinary observer an extraordinary observer
103-1241-0016.flac, might have seen that the chin was very pointed and pronounced that the big eyes were full of spirit and vivacity that the mouth was sweet lipped and expressive that the forehead was broad and full in short our discerning extraordinary observer might have concluded
103-1241-0017.flac,was so ludicrously afraid matthew however was spared the ordeal of speaking first for as soon as she concluded that he was coming to her she stood up grasping with one thin brown hand the handle of a shabby old fashioned carpet bag the other she held out to him
103-1241-0018.flac, i suppose you are mister matthew cuthbert of green gables she said in a peculiarly clear sweet voice i'm very glad to see you i was beginning to be afraid you weren't coming for me
103-1241-0019.flac, i had made up my mind that if you didn't come for me to night
103-1241-0020.flac,i wouldn't be a bit afraid and it would be lovely to sleep in a wild cherry tree all white with bloom in the moonshine don't you think you could imagine you were dwelling in marble halls couldn't you
103-1241-0021.flac, matthew had taken the scrawny little hand awkwardly in his then and there he decided what to do he could not tell this child with the glowing eyes that there had been a mistake he would take her home and let marilla do that she couldn't be left at bright river anyhow
103-1241-0023.flac,it isn't heavy i've got all my worldly goods in it but it isn't heavy and if it isn't carried in just a certain way the handle pulls out so i'd better keep it because i know the exact knack of it it's an extremely old carpet bag oh i'm very glad you've come even if it would have been nice to sleep in a wild cherry tree
103-1241-0024.flac, we've got to drive a long piece haven't we missus spencer said it was eight miles i'm glad because i love driving oh it seems so wonderful that i'm going to live with you and belong to you i've never belonged to anybody not really but the asylum was the worst i've only been in it four months but that was enough
103-1241-0025.flac,it's worse than anything you could imagine missus spencer said it was wicked of me to talk like that
103-1241-0026.flac,they were good you know the asylum people but there is so little scope for the imagination in an asylum only just in the other orphans it was pretty interesting to imagine things about them
103-1241-0028.flac, i do love to imagine i'm nice and plump with dimples in my elbows with this matthew's companion stopped talking partly because she was out of breath and partly because they had reached the buggy not another word did she say until they had left the village and were driving down a steep little hill
103-1241-0029.flac,the road part of which had been cut so deeply into the soft soil that the banks fringed with blooming wild cherry trees and slim white birches were several feet above their heads the child put out her hand and broke off a branch of wild plum that brushed against the side of the buggy
103-1241-0030.flac,isn't that beautiful what did that tree leaning out from the bank all white and lacy make you think of she asked well now i dunno said matthew why a bride of course a bride all in white with a lovely misty veil
103-1241-0031.flac, i've never seen one but i can imagine what she would look like i don't ever expect to be a bride myself i'm so homely nobody will ever want to marry me unless it might be a foreign missionary i suppose a foreign missionary mightn't be very particular
103-1241-0032.flac,but i do hope that some day i shall have a white dress that is my highest ideal of earthly bliss i just love pretty clothes and i've never had a pretty dress in my life that i can remember but of course it's all the more to look forward to isn't it and then
103-1241-0034.flac, but i'd rather believe that it was out of the kindness of his heart wouldn't you when we got on the train i felt as if everybody must be looking at me and pitying me but i just went to work and imagine that i had on the most beautiful pale blue silk dress because when you are imagining you might as well imagine something worthwhile
103-1241-0035.flac, and a big hat all flowers and nodding plumes and a gold watch and kid gloves and boots i felt cheered up right away and i enjoyed my trip to the island with all my might i wasn't a bit sick coming over in the boat neither was missus spencer although she generally is
103-1241-0036.flac, she said she hadn't time to get sick watching to see that i didn't fall overboard she said she never saw the beat of me for prowling about but if it kept her from being seasick it's a mercy i did prowl isn't it and i wanted to see everything that was to be seen on that boat because i didn't know whether i'd ever have another opportunity
103-1241-0037.flac, oh there are a lot more cherry trees all in bloom this island is the bloomiest place i just love it already and i'm so glad i'm going to live here i've always heard that prince edward island was the prettiest place in the world
103-1241-0038.flac, and i used to imagine i was living here but i never really expected i would it's delightful when your imaginations come true isn't it but those red roads are so funny when we got into the train at charlottetown and the red roads began to flash past i asked missus spencer what made them red
103-1241-0039.flac, and she said she didn't know and for pity's sake not to ask her any more questions she said i must have asked her a thousand already i suppose i had too but how you going to find out about things if you don't ask questions and what does make the roads red well now i dunno said matthew
103-1241-0041.flac, was enjoying himself like most quiet folks he liked talkative people when they were willing to do the talking themselves and did not expect him to keep up his end of it but he had never expected to enjoy the society of a little girl women were bad enough in all conscience but little girls were worse
103-1241-0042.flac,he detested the way they had of sidling past him timidly with sidewise glances as if they expected him to gobble them up at a mouthful if they ventured to say a word that was the avonlea type of well bred little girl but this freckled witch was very different
103-1241-0043.flac,and although he found it rather difficult for his slower intelligence to keep up with her brisk mental processes
1088-129236-0000.flac, every promise of the soul has innumerable fulfilments each of its joys ripens into a new want nature uncontainable flowing forelooking
1088-129236-0001.flac, in the first sentiment of kindness anticipates already a benevolence which shall lose all particular regards in its general light the introduction to this felicity is in a private and tender relation of one to one which is the enchantment of human life
1088-129236-0002.flac, unites him to his race pledges him to the domestic and civic relations carries him with new sympathy into nature enhances the power of the senses opens the imagination adds to his character heroic and sacred attributes
1088-129236-0003.flac,establishes marriage and gives permanence to human society the natural association of the sentiment of love with the heyday of the blood seems to require that in order to portray it in vivid tints which every youth and maid should confess to be true to their throbbing experience
1088-129236-0004.flac,one must not be too old the delicious fancies of youth reject the least savor of a mature philosophy as chilling with age and pedantry their purple bloom
1088-129236-0005.flac,and therefore i know i incur the imputation of unnecessary hardness and stoicism from those who compose the court and parliament of love but from these formidable censors i shall appeal to my seniors
1088-129236-0006.flac,for it is to be considered that this passion of which we speak though it begin with the young yet forsakes not the old or rather suffers no one who is truly its servant to grow old
1088-129236-0007.flac, glows and enlarges until it warms and beams upon multitudes of men and women upon the universal heart of all and so lights up the whole world and all nature with its generous flames
1088-129236-0008.flac,only it is to be hoped that by patience and the muses aid we may attain to that inward view of the law which shall describe a truth ever young and beautiful so central that it shall commend itself to the eye at whatever angle beholden
1088-129236-0009.flac, and the first condition is that we must leave a too close and lingering adherence to facts and study the sentiment as it appeared in hope and not in history for each man sees his own life defaced and disfigured
1088-129236-0010.flac,which have given him sincerest instruction and nourishment he will shrink and moan alas i know not why but infinite compunctions embitter in mature life the remembrances of budding joy and cover every beloved name
1088-129236-0011.flac,dwell care and canker and fear with thought with the ideal is immortal hilarity the rose of joy round it all the muses sing but grief cleaves to names and persons and the partial interests of to day and yesterday
1088-129236-0012.flac,the strong bent of nature is seen in the proportion which this topic of personal relations usurps in the conversation of society what do we wish to know of any worthy person so much as how he has sped in the history of this sentiment
1088-129236-0013.flac,and what fastens attention in the intercourse of life like any passage betraying affection between two parties perhaps we never saw them before and never shall meet them again but we see them exchange a glance or betray a deep emotion and we are no longer strangers
1088-129236-0014.flac,it is the dawn of civility and grace in the coarse and rustic the rude village boy teases the girls about the school house door but to day he comes running into the entry and meets one fair child disposing her satchel
1088-129236-0015.flac,he holds her books to help her and instantly it seems to him as if she removed herself from him infinitely and was a sacred precinct among the throng of girls he runs rudely enough but one alone distances him
1088-129236-0016.flac,for persons are love's world and the coldest philosopher cannot recount the debt of the young soul wandering here in nature to the power of love without being tempted to unsay as treasonable to nature aught derogatory to the social instincts
1088-129236-0017.flac,yet the remembrance of these visions outlasts all other remembrances and is a wreath of flowers on the oldest brows but here is a strange fact it may seem to many men in revising their experience
1088-129236-0018.flac, that they have no fairer page in their life's book than the delicious memory of some passages wherein affection contrived to give a witchcraft surpassing the deep attraction of its own truth to a parcel of accidental and trivial circumstances
1088-129236-0019.flac,no man ever forgot the visitations of that power to his heart and brain which created all things anew which was the dawn in him of music poetry and art which made the face of nature radiant with purple light
1088-129236-0020.flac,the morning and the night varied enchantments when a single tone of one voice could make the heart bound and the most trivial circumstance associated with one form is put in the amber of memory
1088-129236-0021.flac,when no place is too solitary and none too silent for him who has richer company and sweeter conversation in his new thoughts than any old friends though best and purest can give him for the figures the motions
1088-129236-0022.flac,the words of the beloved object are not like other images written in water but as plutarch said enamelled in fire and make the study of midnight thou art not gone being gone where'er thou art
1088-129236-0023.flac, thy loving heart in the noon and the afternoon of life we still throb at the recollection of days when happiness was not happy enough but must be drugged with the relish of pain and fear for he touched the secret of the matter who said of love
1088-129236-0024.flac,all other pleasures are not worth its pains and when the day was not long enough but the night too must be consumed in keen recollections when the head boiled all night on the pillow with the generous deed it resolved on
1088-129236-0025.flac,the clouds have faces as he looks on them the trees of the forest the waving grass and the peeping flowers have grown intelligent and he almost fears to trust them with the secret which they seem to invite yet nature soothes and sympathizes
1088-129236-0026.flac,a midnight bell a passing groan these are the sounds we feed upon behold there in the wood the fine madman he is a palace of sweet sounds and sights he dilates he is twice a man
1088-129236-0027.flac,he walks with arms akimbo he soliloquizes he accosts the grass and the trees he feels the blood of the violet the clover and the lily in his veins and he talks with the brook that wets his foot
1088-129236-0028.flac,the heats that have opened his perceptions of natural beauty have made him love music and verse it is a fact often observed that men have written good verses under the inspiration of passion who cannot write well under any other circumstances
1088-129236-0029.flac,the like force has the passion over all his nature it expands the sentiment it makes the clown gentle and gives the coward heart
1088-129236-0030.flac,into the most pitiful and abject it will infuse a heart and courage to defy the world so only it have the countenance of the beloved object in giving him to another it still more gives him to himself
1088-134315-0000.flac,as you know and as i have given you proof i have the greatest admiration in the world for one whose work for humanity has won such universal recognition i hope that we shall both forget this unhappy morning and that you will give me an opportunity of rendering to you in person
1088-134315-0001.flac,the apologies which are due to you i feel that anything less will neither rehabilitate me in your esteem nor secure for me the remnant of my shattered self respect i am hoping you will dine with me next week and meet a most interesting man george gathercole
1088-134315-0002.flac, to disturb a relationship which i have always hoped would be mutually pleasant if you will allow gathercole who will be unconscious of the part he is playing to act as peacemaker between yourself and myself
1088-134315-0003.flac,i shall feel that his trip which has cost me a large sum of money will not have been wasted i am dear mister meredith yours very sincerely remington kara
1088-134315-0004.flac, kara folded the letter and inserted it in its envelope he rang a bell on his table and the girl who had so filled t x with a sense of awe came from an adjoining room you will see that this is delivered miss holland
1088-134315-0005.flac,a man against whom my favourite weapon would fail she looked at him with interest in her eyes what is your favourite weapon mister kara she asked fear he said
1088-134315-0006.flac,if he expected her to give him any encouragement to proceed he was disappointed probably he required no such encouragement for in the presence of his social inferiors he was somewhat monopolizing cut a man's flesh and it heals he said
1088-134315-0007.flac,whip a man and the memory of it passes frighten him fill him with a sense of foreboding and apprehension and let him believe that something dreadful is going to happen either to himself or to someone he loves better the latter
1088-134315-0008.flac,and you will hurt him beyond forgetfulness fear is a tyrant and a despot more terrible than the rack more potent than the stake fear is many eyed and sees horrors where normal vision only sees the ridiculous
1088-134315-0009.flac,is that your creed she asked quietly part of it miss holland he smiled she played idly with the letter she held in her hand balancing it on the edge of the desk her eyes downcast
1088-134315-0010.flac,what would justify the use of such an awful weapon she asked it is amply justified to secure an end he said blandly for example i want something i cannot obtain that something through the ordinary channel or by the employment of ordinary means
1088-134315-0011.flac,if i can buy it well and good if i can buy those who can use their influence to secure this thing for me so much the better if i can obtain it by any merit i possess i utilize that merit
1088-134315-0012.flac,providing always that i can secure my object in the time otherwise he shrugged his shoulders i see she said nodding her head quickly i suppose that is how blackmailers feel he frowned
1088-134315-0013.flac,that is a word i never use nor do i like to hear it employed he said blackmail suggests to me a vulgar attempt to obtain money
1088-134315-0014.flac, and according to your argument they are also justified it is a matter of plane he said airily viewed from my standpoint they are sordid criminals the sort of person that t x meets i presume in the course of his daily work
1088-134315-0015.flac, t x he went on somewhat oracularly is a man for whom i have a great deal of respect you will probably meet him again for he will find an opportunity of asking you a few questions about myself i need hardly tell you
1088-134315-0016.flac,he lifted his shoulders with a deprecating smile i shall certainly not discuss your business with any person said the girl coldly i am paying you three pounds a week i think he said
1088-134315-0017.flac, i intend increasing that to five pounds because you suit me most admirably thank you said the girl quietly but i am already being paid quite sufficient she left him a little astonished and not a little ruffled
1088-134315-0018.flac, to refuse the favours of remington kara was by him regarded as something of an affront
1088-134315-0019.flac, he rang the bell this time for his valet fisher he said i am expecting a visit from a gentleman named gathercole a one armed gentleman whom you must look after if he comes
1088-134315-0020.flac,detain him on some pretext or other because he is rather difficult to get hold of and i want to see him
1088-134315-0021.flac,he will probably be interested if you take him into the library very good sir said the urbane fisher will you change before you go out kara shook his head i think i will go as i am he said get me my fur coat this beastly cold kills me
1088-134315-0022.flac,he shivered as he glanced into the bleak street keep my fire going put all my private letters in my bedroom and see that miss holland has her lunch fisher followed him to his car wrapped the fur rug about his legs
1088-134315-0023.flac, close the door carefully and return to the house
1088-134315-0024.flac,that he should return to kara's study and set the papers in order was natural and proper that he should conduct a rapid examination of all the drawers in kara's desk might be excused on the score of diligence since he was to some extent in the confidence of his employer
1088-134315-0025.flac, kara was given to making friends of his servants up to a point in his more generous moments he would address his bodyguard as fred and on more occasions than one and for no apparent reason had tipped his servant over and above his salary
1088-134315-0026.flac, mister fred fisher found little to reward him for his search until he came upon kara's cheque book which told him that on the previous day the greek had drawn six thousand pounds in cash from the bank
1088-134315-0027.flac,this interested him mightily and he replaced the cheque book with the tightened lips and the fixed gaze of a man who was thinking rapidly he paid a visit to the library where the secretary was engaged in making copies of kara's correspondence
1088-134315-0028.flac,answering letters appealing for charitable donations and in the hack words which fall to the secretaries of the great he replenished the fire asked deferentially for any instructions and returned again to his quest
1088-134315-0029.flac,this time he made the bedroom the scene of his investigations the safe he did not attempt to touch but there was a small bureau in which kara would have placed his private correspondence of the morning this however yielded no result
1088-134315-0030.flac,rum cove said fisher he paused for a moment before the closed door of the room and smilingly surveyed the great steel latch which spanned the door and fitted into an iron socket securely screwed to the framework he lifted it gingerly
1088-134315-0031.flac,there was a little knob for the purpose and let it fall gently into the socket which had been made to receive it on the door itself rum cove he said again and lifting the latch to the hook which held it up left the room closing the door softly behind him
1088-134315-0032.flac,he walked down the corridor with a meditative frown and began to descend the stairs to the hall he was less than half way down when the one maid of kara's household came up to meet him there's a gentleman who wants to see mister kara she said here is his card
1088-134315-0033.flac,fisher took the card from the salver and read mister george gathercole junior travellers club i'll see this gentleman he said with a sudden brisk interest he found the visitor standing in the hall
1088-134315-0034.flac,he was a man who would have attracted attention if only from the somewhat eccentric nature of his dress and his unkempt appearance he was dressed in a well worn overcoat of a somewhat pronounced check he had a top hat glossy and obviously new at the back of his head
1088-134315-0035.flac, a pair of pince nez sat crookedly on his nose and two fat volumes under his arm completed the picture fisher who was an observer of some discernment noticed under the overcoat a creased blue suit large black boots
1088-134315-0036.flac,and a pair of pearl studs the newcomer glared round at the valet take these he ordered peremptorily pointing to the books under his arm fisher hastened to obey and noted with some wonder that the visitor did not attempt to assist him
1088-134315-0037.flac, either by loosening his hold of the volumes or raising his hand accidentally the valet's hand pressed against the other's sleeve and he received a shock for the forearm was clearly an artificial one it was against a wooden surface beneath the sleeve that his knuckles struck
1088-134315-0038.flac, and this view of the stranger's infirmity was confirmed when the other reached round with his right hand took hold of the gloved left hand and thrust it into the pocket of his overcoat where is kara growled the stranger
1088-134315-0039.flac, he told me he would be in at six o'clock at the latest six o'clock ye gods stormed the man impatiently what dog am i that i should wait till six
1088-134315-0040.flac,six o'clock eh you will tell mister kara that i called give me those books but i assure you sir stammered fisher give me those books roared the other
1088-134315-0041.flac,deftly he lifted his left hand from the pocket crooked the elbow by some quick manipulation and thrust the books which the valet most reluctantly handed to him back to the place from whence he had taken them tell mister kara i will call at my own time
1088-134315-0042.flac, good morning to you if you would only wait sir pleaded the agonized fisher wait be hanged snarled the other i've waited three years i tell you tell mister kara to expect me when he sees me he went out and most unnecessarily banged the door behind him
1088-134315-0043.flac,fisher went back to the library the girl was sealing up some letters as he entered and looked up i am afraid miss holland i've got myself into very serious trouble what is that fisher asked the girl
1088-134315-0044.flac, mister gathercole said the girl quickly fisher nodded yes miss i couldn't get him to stay though she pursed her lips thoughtfully mister kara will be very cross but i don't see how you can help it i wish you had called me
1088-134315-0045.flac,at six o'clock miss the man replied there is rather an important letter here which has to be delivered shall i ring up for a messenger no i don't think that would be advisable you had better take it yourself
1088-134315-0046.flac,she handed him the letter and he read without a droop of eyelid the superscription
1088-134315-0047.flac,special service department scotland yard whitehall he put it carefully in his pocket and went from the room to change large as the house was kara did not employ a regular staff of servants a maid and a valet comprised the whole of the indoor staff
1088-134315-0048.flac,the only other person in the house beside the girl was the middle aged domestic who was parlour maid serving maid and housekeeper in one miss holland sat at her desk to all appearance reading over the letters she had typed that afternoon
1088-134315-0049.flac,but her mind was very far from the correspondence before her she heard the soft thud of the front door closing and rising she crossed the room rapidly and looked down through the window to the street she watched fisher until he was out of sight
1088-134315-0050.flac,the maid who was also cook arose up as the girl entered it's a sight for sore eyes to see you in my kitchen miss she smiled i'm afraid you're rather lonely missus beale said the girl sympathetically lonely miss cried the maid
1088-134315-0051.flac, i fairly get the creeps sitting here hour after hour it's that door that gives me the hump she pointed to the far end of the kitchen to a soiled looking door of unpainted wood that's mister kara's wine cellar nobody's been in it but him
1088-134315-0052.flac, i know he goes in sometimes because i tried a dodge that my brother who's a policeman taught me i stretched a bit of white cotton across it an it was broke the next morning mister kara keeps some of his private papers in there said the girl quietly he has told me so himself
1088-134315-0053.flac, said the woman doubtfully i wish he'd brick it up the same as he has the lower cellar i get the horrors sittin here at night expectin the door to open an the ghost of the mad lord to come out him that was killed in africa miss holland laughed i want you to go out now she said
